0.000000 	 -nan 	 -nan
50000000000.000000 	 1.264371 	 30.365161
100000000000.000000 	 1.272449 	 61.118332
150000000000.000000 	 1.268418 	 91.387057
200000000000.000000 	 1.260410 	 121.080153
250000000000.000000 	 1.250947 	 150.213796
300000000000.000000 	 1.241039 	 178.828924
350000000000.000000 	 1.231144 	 206.970318
400000000000.000000 	 1.221478 	 234.680391
450000000000.000000 	 1.212142 	 261.997464
500000000000.000000 	 1.203178 	 288.955550
550000000000.000000 	 1.194599 	 315.584660
600000000000.000000 	 1.186400 	 341.911253
650000000000.000000 	 1.178568 	 367.958698
700000000000.000000 	 1.171086 	 393.747695
750000000000.000000 	 1.163936 	 419.296647
800000000000.000000 	 1.157097 	 444.621978
850000000000.000000 	 1.150552 	 469.738400
900000000000.000000 	 1.144280 	 494.659139
950000000000.000000 	 1.138267 	 519.396134
1000000000000.000000 	 1.132494 	 543.960197
1050000000000.000000 	 1.126948 	 568.361150
1100000000000.000000 	 1.121615 	 592.607947
1150000000000.000000 	 1.116481 	 616.708775
1200000000000.000000 	 1.111534 	 640.671138
1250000000000.000000 	 1.106764 	 664.501936
1300000000000.000000 	 1.102161 	 688.207529
1350000000000.000000 	 1.097714 	 711.793792
1400000000000.000000 	 1.093416 	 735.266166
1450000000000.000000 	 1.089258 	 758.629702
1500000000000.000000 	 1.085233 	 781.889094
1550000000000.000000 	 1.081333 	 805.048720
1600000000000.000000 	 1.077552 	 828.112665
1650000000000.000000 	 1.073885 	 851.084750
1700000000000.000000 	 1.070325 	 873.968557
1750000000000.000000 	 1.066868 	 896.767443
1800000000000.000000 	 1.063508 	 919.484568
1850000000000.000000 	 1.060241 	 942.122903
1900000000000.000000 	 1.057063 	 964.685251
1950000000000.000000 	 1.053970 	 987.174258
2000000000000.000000 	 1.050957 	 1009.592422
2050000000000.000000 	 1.048022 	 1031.942109
2100000000000.000000 	 1.045161 	 1054.225563
2150000000000.000000 	 1.042371 	 1076.444910
2200000000000.000000 	 1.039649 	 1098.602170
2250000000000.000000 	 1.036992 	 1120.699262
2300000000000.000000 	 1.034398 	 1142.738015
2350000000000.000000 	 1.031865 	 1164.720171
2400000000000.000000 	 1.029389 	 1186.647388
2450000000000.000000 	 1.026969 	 1208.521253
2500000000000.000000 	 1.024602 	 1230.343280
2550000000000.000000 	 1.022287 	 1252.114915
2600000000000.000000 	 1.020022 	 1273.837545
2650000000000.000000 	 1.017805 	 1295.512497
2700000000000.000000 	 1.015635 	 1317.141041
2750000000000.000000 	 1.013509 	 1338.724400
2800000000000.000000 	 1.011426 	 1360.263742
2850000000000.000000 	 1.009385 	 1381.760194
2900000000000.000000 	 1.007384 	 1403.214836
2950000000000.000000 	 1.005423 	 1424.628709
3000000000000.000000 	 1.003499 	 1446.002815
3050000000000.000000 	 1.001612 	 1467.338116
3100000000000.000000 	 0.999760 	 1488.635543
3150000000000.000000 	 0.997942 	 1509.895992
3200000000000.000000 	 0.996158 	 1531.120327
3250000000000.000000 	 0.994406 	 1552.309383
3300000000000.000000 	 0.992686 	 1573.463965
3350000000000.000000 	 0.990996 	 1594.584853
3400000000000.000000 	 0.989335 	 1615.672800
3450000000000.000000 	 0.987703 	 1636.728534
3500000000000.000000 	 0.986099 	 1657.752761
3550000000000.000000 	 0.984522 	 1678.746164
3600000000000.000000 	 0.982972 	 1699.709402
3650000000000.000000 	 0.981447 	 1720.643118
3700000000000.000000 	 0.979947 	 1741.547933
3750000000000.000000 	 0.978472 	 1762.424450
3800000000000.000000 	 0.977020 	 1783.273252
3850000000000.000000 	 0.975591 	 1804.094908
3900000000000.000000 	 0.974184 	 1824.889969
3950000000000.000000 	 0.972799 	 1845.658970
4000000000000.000000 	 0.971436 	 1866.402432
4050000000000.000000 	 0.970094 	 1887.120861
4100000000000.000000 	 0.968771 	 1907.814747
4150000000000.000000 	 0.967469 	 1928.484571
4200000000000.000000 	 0.966186 	 1949.130797
4250000000000.000000 	 0.964921 	 1969.753878
4300000000000.000000 	 0.963676 	 1990.354257
4350000000000.000000 	 0.962448 	 2010.932362
4400000000000.000000 	 0.961237 	 2031.488613
4450000000000.000000 	 0.960044 	 2052.023417
4500000000000.000000 	 0.958868 	 2072.537173
4550000000000.000000 	 0.957708 	 2093.030268
4600000000000.000000 	 0.956564 	 2113.503081
4650000000000.000000 	 0.955436 	 2133.955981
4700000000000.000000 	 0.954323 	 2154.389328
4750000000000.000000 	 0.953225 	 2174.803474
4800000000000.000000 	 0.952142 	 2195.198762
4850000000000.000000 	 0.951073 	 2215.575528
4900000000000.000000 	 0.950018 	 2235.934098
4950000000000.000000 	 0.948977 	 2256.274793
5000000000000.000000 	 0.947950 	 2276.597926
