0.000000 	 -nan 	 -nan 
50000000000.000000 	 0.215432 	 5.173817 
100000000000.000000 	 0.194714 	 9.352525 
150000000000.000000 	 0.181684 	 13.089945 
200000000000.000000 	 0.172298 	 16.551680 
250000000000.000000 	 0.165053 	 19.819572 
300000000000.000000 	 0.159211 	 22.941718 
350000000000.000000 	 0.154357 	 25.949332 
400000000000.000000 	 0.150233 	 28.864044 
450000000000.000000 	 0.146669 	 31.701575 
500000000000.000000 	 0.143545 	 34.473767 
550000000000.000000 	 0.140776 	 37.189796 
600000000000.000000 	 0.138300 	 39.856941 
650000000000.000000 	 0.136066 	 42.481085 
700000000000.000000 	 0.134039 	 45.067058 
750000000000.000000 	 0.132186 	 47.618884 
800000000000.000000 	 0.130486 	 50.139954 
850000000000.000000 	 0.128917 	 52.633155 
900000000000.000000 	 0.127463 	 55.100967 
950000000000.000000 	 0.126112 	 57.545541 
1000000000000.000000 	 0.124852 	 59.968753 
1050000000000.000000 	 0.123672 	 62.372249 
1100000000000.000000 	 0.122565 	 64.757488 
1150000000000.000000 	 0.121524 	 67.125762 
1200000000000.000000 	 0.120541 	 69.478229 
1250000000000.000000 	 0.119613 	 71.815924 
1300000000000.000000 	 0.118734 	 74.139783 
1350000000000.000000 	 0.117901 	 76.450648 
1400000000000.000000 	 0.117108 	 78.749288 
1450000000000.000000 	 0.116354 	 81.036401 
1500000000000.000000 	 0.115635 	 83.312623 
1550000000000.000000 	 0.114948 	 85.578541 
1600000000000.000000 	 0.114292 	 87.834689 
1650000000000.000000 	 0.113663 	 90.081564 
1700000000000.000000 	 0.113061 	 92.319620 
1750000000000.000000 	 0.112484 	 94.549281 
1800000000000.000000 	 0.111929 	 96.770939 
1850000000000.000000 	 0.111395 	 98.984957 
1900000000000.000000 	 0.110882 	 101.191674 
1950000000000.000000 	 0.110387 	 103.391406 
2000000000000.000000 	 0.109910 	 105.584449 
2050000000000.000000 	 0.109450 	 107.771078 
2100000000000.000000 	 0.109006 	 109.951554 
2150000000000.000000 	 0.108577 	 112.126119 
2200000000000.000000 	 0.108162 	 114.295001 
2250000000000.000000 	 0.107760 	 116.458416 
2300000000000.000000 	 0.107371 	 118.616567 
2350000000000.000000 	 0.106994 	 120.769645 
2400000000000.000000 	 0.106628 	 122.917831 
2450000000000.000000 	 0.106274 	 125.061297 
2500000000000.000000 	 0.105929 	 127.200203 
2550000000000.000000 	 0.105595 	 129.334704 
2600000000000.000000 	 0.105270 	 131.464945 
2650000000000.000000 	 0.104954 	 133.591065 
2700000000000.000000 	 0.104647 	 135.713196 
2750000000000.000000 	 0.104348 	 137.831462 
2800000000000.000000 	 0.104057 	 139.945984 
2850000000000.000000 	 0.103773 	 142.056875 
2900000000000.000000 	 0.103497 	 144.164243 
2950000000000.000000 	 0.103228 	 146.268192 
3000000000000.000000 	 0.102965 	 148.368822 
3050000000000.000000 	 0.102709 	 150.466226 
3100000000000.000000 	 0.102459 	 152.560495 
3150000000000.000000 	 0.102215 	 154.651717 
3200000000000.000000 	 0.101976 	 156.739975 
3250000000000.000000 	 0.101743 	 158.825347 
3300000000000.000000 	 0.101516 	 160.907911 
3350000000000.000000 	 0.101293 	 162.987740 
3400000000000.000000 	 0.101075 	 165.064905 
3450000000000.000000 	 0.100862 	 167.139473 
3500000000000.000000 	 0.100654 	 169.211510 
3550000000000.000000 	 0.100450 	 171.281078 
3600000000000.000000 	 0.100250 	 173.348239 
3650000000000.000000 	 0.100055 	 175.413049 
3700000000000.000000 	 0.099863 	 177.475566 
3750000000000.000000 	 0.099676 	 179.535843 
3800000000000.000000 	 0.099492 	 181.593932 
3850000000000.000000 	 0.099311 	 183.649884 
3900000000000.000000 	 0.099135 	 185.703748 
3950000000000.000000 	 0.098961 	 187.755570 
4000000000000.000000 	 0.098791 	 189.805396 
4050000000000.000000 	 0.098624 	 191.853270 
4100000000000.000000 	 0.098460 	 193.899234 
4150000000000.000000 	 0.098300 	 195.943329 
4200000000000.000000 	 0.098142 	 197.985596 
4250000000000.000000 	 0.097987 	 200.026072 
4300000000000.000000 	 0.097834 	 202.064794 
4350000000000.000000 	 0.097685 	 204.101800 
4400000000000.000000 	 0.097538 	 206.137123 
4450000000000.000000 	 0.097393 	 208.170799 
4500000000000.000000 	 0.097251 	 210.202859 
4550000000000.000000 	 0.097112 	 212.233336 
4600000000000.000000 	 0.096974 	 214.262261 
4650000000000.000000 	 0.096839 	 216.289664 
4700000000000.000000 	 0.096707 	 218.315575 
4750000000000.000000 	 0.096576 	 220.340021 
4800000000000.000000 	 0.096447 	 222.363031 
4850000000000.000000 	 0.096321 	 224.384630 
4900000000000.000000 	 0.096196 	 226.404847 
4950000000000.000000 	 0.096074 	 228.423704 
5000000000000.000000 	 0.095953 	 230.441229 
