0.000000 	 -nan 	 -nan 
50000000000.000000 	 0.312129 	 7.496095 
100000000000.000000 	 0.287714 	 13.819495 
150000000000.000000 	 0.270935 	 19.520350 
200000000000.000000 	 0.258116 	 24.795665 
250000000000.000000 	 0.247762 	 29.751234 
300000000000.000000 	 0.239097 	 34.452932 
350000000000.000000 	 0.231664 	 38.945485 
400000000000.000000 	 0.225168 	 43.261089 
450000000000.000000 	 0.219409 	 47.423930 
500000000000.000000 	 0.214244 	 51.452784 
550000000000.000000 	 0.209567 	 55.362611 
600000000000.000000 	 0.205299 	 59.165588 
650000000000.000000 	 0.201378 	 62.871807 
700000000000.000000 	 0.197754 	 66.489754 
750000000000.000000 	 0.194389 	 70.026662 
800000000000.000000 	 0.191249 	 73.488766 
850000000000.000000 	 0.188309 	 76.881491 
900000000000.000000 	 0.185547 	 80.209598 
950000000000.000000 	 0.182942 	 83.477303 
1000000000000.000000 	 0.180480 	 86.688360 
1050000000000.000000 	 0.178147 	 89.846134 
1100000000000.000000 	 0.175931 	 92.953658 
1150000000000.000000 	 0.173822 	 96.013683 
1200000000000.000000 	 0.171810 	 99.028710 
1250000000000.000000 	 0.169888 	 102.001027 
1300000000000.000000 	 0.168049 	 104.932734 
1350000000000.000000 	 0.166287 	 107.825764 
1400000000000.000000 	 0.164595 	 110.681905 
1450000000000.000000 	 0.162970 	 113.502811 
1500000000000.000000 	 0.161406 	 116.290023 
1550000000000.000000 	 0.159900 	 119.044976 
1600000000000.000000 	 0.158448 	 121.769007 
1650000000000.000000 	 0.157046 	 124.463374 
1700000000000.000000 	 0.155692 	 127.129251 
1750000000000.000000 	 0.154382 	 129.767747 
1800000000000.000000 	 0.153115 	 132.379902 
1850000000000.000000 	 0.151888 	 134.966701 
1900000000000.000000 	 0.150699 	 137.529072 
1950000000000.000000 	 0.149545 	 140.067894 
2000000000000.000000 	 0.148426 	 142.584002 
2050000000000.000000 	 0.147339 	 145.078186 
2100000000000.000000 	 0.146283 	 147.551197 
2150000000000.000000 	 0.145256 	 150.003752 
2200000000000.000000 	 0.144256 	 152.436530 
2250000000000.000000 	 0.143284 	 154.850183 
2300000000000.000000 	 0.142337 	 157.245329 
2350000000000.000000 	 0.141415 	 159.622562 
2400000000000.000000 	 0.140516 	 161.982448 
2450000000000.000000 	 0.139639 	 164.325529 
2500000000000.000000 	 0.138784 	 166.652326 
2550000000000.000000 	 0.137950 	 168.963337 
2600000000000.000000 	 0.137135 	 171.259039 
2650000000000.000000 	 0.136340 	 173.539892 
2700000000000.000000 	 0.135563 	 175.806338 
2750000000000.000000 	 0.134803 	 178.058801 
2800000000000.000000 	 0.134061 	 180.297688 
2850000000000.000000 	 0.133335 	 182.523394 
2900000000000.000000 	 0.132624 	 184.736296 
2950000000000.000000 	 0.131929 	 186.936761 
3000000000000.000000 	 0.131249 	 189.125140 
3050000000000.000000 	 0.130583 	 191.301772 
3100000000000.000000 	 0.129931 	 193.466987 
3150000000000.000000 	 0.129293 	 195.621100 
3200000000000.000000 	 0.128667 	 197.764419 
3250000000000.000000 	 0.128054 	 199.897238 
3300000000000.000000 	 0.127453 	 202.019846 
3350000000000.000000 	 0.126863 	 204.132518 
3400000000000.000000 	 0.126286 	 206.235524 
3450000000000.000000 	 0.125719 	 208.329122 
3500000000000.000000 	 0.125163 	 210.413565 
3550000000000.000000 	 0.124617 	 212.489097 
3600000000000.000000 	 0.124081 	 214.555953 
3650000000000.000000 	 0.123556 	 216.614365 
3700000000000.000000 	 0.123040 	 218.664554 
3750000000000.000000 	 0.122533 	 220.706736 
3800000000000.000000 	 0.122035 	 222.741120 
3850000000000.000000 	 0.121547 	 224.767912 
3900000000000.000000 	 0.121066 	 226.787307 
3950000000000.000000 	 0.120594 	 228.799500 
4000000000000.000000 	 0.120131 	 230.804675 
4050000000000.000000 	 0.119675 	 232.803016 
4100000000000.000000 	 0.119227 	 234.794698 
4150000000000.000000 	 0.118786 	 236.779893 
4200000000000.000000 	 0.118353 	 238.758769 
4250000000000.000000 	 0.117927 	 240.731488 
4300000000000.000000 	 0.117508 	 242.698209 
4350000000000.000000 	 0.117096 	 244.659085 
4400000000000.000000 	 0.116690 	 246.614267 
4450000000000.000000 	 0.116291 	 248.563900 
4500000000000.000000 	 0.115899 	 250.508129 
4550000000000.000000 	 0.115512 	 252.447090 
4600000000000.000000 	 0.115132 	 254.380919 
4650000000000.000000 	 0.114758 	 256.309749 
4700000000000.000000 	 0.114389 	 258.233708 
4750000000000.000000 	 0.114026 	 260.152921 
4800000000000.000000 	 0.113669 	 262.067511 
4850000000000.000000 	 0.113317 	 263.977596 
4900000000000.000000 	 0.112970 	 265.883294 
4950000000000.000000 	 0.112629 	 267.784718 
5000000000000.000000 	 0.112293 	 269.681979 
