0.000000 	 -nan 	 -nan 
50000000000.000000 	 0.352288 	 8.460558 
100000000000.000000 	 0.317989 	 15.273677 
150000000000.000000 	 0.295705 	 21.305008 
200000000000.000000 	 0.279244 	 26.825331 
250000000000.000000 	 0.266257 	 31.972221 
300000000000.000000 	 0.255582 	 36.828382 
350000000000.000000 	 0.246553 	 41.448566 
400000000000.000000 	 0.238754 	 45.871436 
450000000000.000000 	 0.231908 	 50.125594 
500000000000.000000 	 0.225820 	 54.232961 
550000000000.000000 	 0.220348 	 58.210819 
600000000000.000000 	 0.215388 	 62.073108 
650000000000.000000 	 0.210857 	 65.831284 
700000000000.000000 	 0.206692 	 69.494917 
750000000000.000000 	 0.202843 	 73.072111 
800000000000.000000 	 0.199268 	 76.569809 
850000000000.000000 	 0.195933 	 79.994024 
900000000000.000000 	 0.192811 	 83.350007 
950000000000.000000 	 0.189878 	 86.642387 
1000000000000.000000 	 0.187115 	 89.875269 
1050000000000.000000 	 0.184504 	 93.052320 
1100000000000.000000 	 0.182032 	 96.176836 
1150000000000.000000 	 0.179684 	 99.251790 
1200000000000.000000 	 0.177451 	 102.279884 
1250000000000.000000 	 0.175322 	 105.263579 
1300000000000.000000 	 0.173290 	 108.205127 
1350000000000.000000 	 0.171346 	 111.106599 
1400000000000.000000 	 0.169485 	 113.969903 
1450000000000.000000 	 0.167700 	 116.796801 
1500000000000.000000 	 0.165985 	 119.588932 
1550000000000.000000 	 0.164336 	 122.347816 
1600000000000.000000 	 0.162749 	 125.074873 
1650000000000.000000 	 0.161220 	 127.771428 
1700000000000.000000 	 0.159745 	 130.438723 
1750000000000.000000 	 0.158320 	 133.077924 
1800000000000.000000 	 0.156944 	 135.690125 
1850000000000.000000 	 0.155613 	 138.276361 
1900000000000.000000 	 0.154324 	 140.837604 
1950000000000.000000 	 0.153076 	 143.374775 
2000000000000.000000 	 0.151866 	 145.888746 
2050000000000.000000 	 0.150692 	 148.380341 
2100000000000.000000 	 0.149553 	 150.850347 
2150000000000.000000 	 0.148447 	 153.299506 
2200000000000.000000 	 0.147372 	 155.728528 
2250000000000.000000 	 0.146326 	 158.138088 
2300000000000.000000 	 0.145310 	 160.528829 
2350000000000.000000 	 0.144320 	 162.901367 
2400000000000.000000 	 0.143356 	 165.256288 
2450000000000.000000 	 0.142417 	 167.594153 
2500000000000.000000 	 0.141502 	 169.915500 
2550000000000.000000 	 0.140609 	 172.220844 
2600000000000.000000 	 0.139739 	 174.510679 
2650000000000.000000 	 0.138890 	 176.785477 
2700000000000.000000 	 0.138060 	 179.045693 
2750000000000.000000 	 0.137251 	 181.291765 
2800000000000.000000 	 0.136460 	 183.524113 
2850000000000.000000 	 0.135687 	 185.743140 
2900000000000.000000 	 0.134931 	 187.949236 
2950000000000.000000 	 0.134192 	 190.142776 
3000000000000.000000 	 0.133469 	 192.324120 
3050000000000.000000 	 0.132762 	 194.493617 
3100000000000.000000 	 0.132070 	 196.651604 
3150000000000.000000 	 0.131393 	 198.798404 
3200000000000.000000 	 0.130729 	 200.934332 
3250000000000.000000 	 0.130080 	 203.059689 
3300000000000.000000 	 0.129443 	 205.174769 
3350000000000.000000 	 0.128819 	 207.279854 
3400000000000.000000 	 0.128208 	 209.375220 
3450000000000.000000 	 0.127609 	 211.461129 
3500000000000.000000 	 0.127021 	 213.537841 
3550000000000.000000 	 0.126445 	 215.605602 
3600000000000.000000 	 0.125879 	 217.664654 
3650000000000.000000 	 0.125325 	 219.715231 
3700000000000.000000 	 0.124780 	 221.757559 
3750000000000.000000 	 0.124246 	 223.791858 
3800000000000.000000 	 0.123721 	 225.818342 
3850000000000.000000 	 0.123206 	 227.837216 
3900000000000.000000 	 0.122701 	 229.848682 
3950000000000.000000 	 0.122204 	 231.852936 
4000000000000.000000 	 0.121716 	 233.850166 
4050000000000.000000 	 0.121236 	 235.840557 
4100000000000.000000 	 0.120765 	 237.824289 
4150000000000.000000 	 0.120302 	 239.801534 
4200000000000.000000 	 0.119847 	 241.772464 
4250000000000.000000 	 0.119399 	 243.737242 
4300000000000.000000 	 0.118959 	 245.696028 
4350000000000.000000 	 0.118527 	 247.648980 
4400000000000.000000 	 0.118101 	 249.596248 
4450000000000.000000 	 0.117683 	 251.537980 
4500000000000.000000 	 0.117271 	 253.474322 
4550000000000.000000 	 0.116866 	 255.405412 
4600000000000.000000 	 0.116467 	 257.331387 
4650000000000.000000 	 0.116075 	 259.252382 
4700000000000.000000 	 0.115689 	 261.168525 
4750000000000.000000 	 0.115309 	 263.079943 
4800000000000.000000 	 0.114935 	 264.986759 
4850000000000.000000 	 0.114567 	 266.889095 
4900000000000.000000 	 0.114204 	 268.787067 
4950000000000.000000 	 0.113847 	 270.680790 
5000000000000.000000 	 0.113495 	 272.570376 
