0.010000 0.00000000000000000000e+00
0.020000 1.80715442610335230711e-09
0.030000 5.06817352530219977780e-06
0.040000 2.47870777608794057301e-04
0.050000 2.44155694883119167571e-03
0.060000 1.08778660164713745356e-02
0.070000 3.09046328953137827700e-02
0.080000 6.63523679400146448870e-02
0.090000 1.18185905401624324895e-01
0.100000 1.84628368142518733963e-01
0.200000 9.29998297804069951056e-01
0.300000 1.28142546158558490177e+00
0.400000 1.47563431637275410679e+00
0.500000 1.60990533268419477864e+00
0.600000 1.71140946449302999710e+00
0.700000 1.79201972812200271967e+00
0.800000 1.85815751225132963498e+00
0.900000 1.91370766562132299526e+00
