0.000000 	 -nan
20000000000.000000 	 0.001932
40000000000.000000 	 0.007197
60000000000.000000 	 0.015368
80000000000.000000 	 0.026182
100000000000.000000 	 0.039444
120000000000.000000 	 0.055004
140000000000.000000 	 0.072734
160000000000.000000 	 0.092530
180000000000.000000 	 0.114296
200000000000.000000 	 0.137953
220000000000.000000 	 0.163428
240000000000.000000 	 0.190653
260000000000.000000 	 0.219570
280000000000.000000 	 0.250123
300000000000.000000 	 0.282260
320000000000.000000 	 0.315935
340000000000.000000 	 0.351104
360000000000.000000 	 0.387724
380000000000.000000 	 0.425757
400000000000.000000 	 0.465165
420000000000.000000 	 0.505915
440000000000.000000 	 0.547974
460000000000.000000 	 0.591309
480000000000.000000 	 0.635891
500000000000.000000 	 0.681691
520000000000.000000 	 0.728683
540000000000.000000 	 0.776841
560000000000.000000 	 0.826140
580000000000.000000 	 0.876556
600000000000.000000 	 0.928066
620000000000.000000 	 0.980649
640000000000.000000 	 1.034284
660000000000.000000 	 1.088951
680000000000.000000 	 1.144630
700000000000.000000 	 1.201302
720000000000.000000 	 1.258951
740000000000.000000 	 1.317558
760000000000.000000 	 1.377107
780000000000.000000 	 1.437583
800000000000.000000 	 1.498969
820000000000.000000 	 1.561251
840000000000.000000 	 1.624415
860000000000.000000 	 1.688446
880000000000.000000 	 1.753332
900000000000.000000 	 1.819059
920000000000.000000 	 1.885615
940000000000.000000 	 1.952988
960000000000.000000 	 2.021166
980000000000.000000 	 2.090137
1000000000000.000000 	 2.159892
1020000000000.000000 	 2.233625
1040000000000.000000 	 2.308433
1060000000000.000000 	 2.384147
1080000000000.000000 	 2.460735
1100000000000.000000 	 2.538314
1120000000000.000000 	 2.616738
1140000000000.000000 	 2.696016
1160000000000.000000 	 2.776170
1180000000000.000000 	 2.857194
1200000000000.000000 	 2.939076
1220000000000.000000 	 3.021794
1240000000000.000000 	 3.105304
1260000000000.000000 	 3.189682
1280000000000.000000 	 3.274943
1300000000000.000000 	 3.360979
1320000000000.000000 	 3.447786
1340000000000.000000 	 3.535497
1360000000000.000000 	 3.623915
1380000000000.000000 	 3.713220
1400000000000.000000 	 3.803284
1420000000000.000000 	 3.894131
1440000000000.000000 	 3.985782
1460000000000.000000 	 4.078195
1480000000000.000000 	 4.171399
1500000000000.000000 	 4.265373
1520000000000.000000 	 4.360092
1540000000000.000000 	 4.455627
1560000000000.000000 	 4.551869
1580000000000.000000 	 4.648920
1600000000000.000000 	 4.746690
1620000000000.000000 	 4.845215
1640000000000.000000 	 4.944502
1660000000000.000000 	 5.044509
1680000000000.000000 	 5.145275
1700000000000.000000 	 5.246771
1720000000000.000000 	 5.348989
1740000000000.000000 	 5.451952
1760000000000.000000 	 5.555636
1780000000000.000000 	 5.660038
1800000000000.000000 	 5.765166
1820000000000.000000 	 5.871012
1840000000000.000000 	 5.977569
1860000000000.000000 	 6.084836
1880000000000.000000 	 6.192819
1900000000000.000000 	 6.301503
1920000000000.000000 	 6.410891
1940000000000.000000 	 6.520980
1960000000000.000000 	 6.631767
1980000000000.000000 	 6.743250
2000000000000.000000 	 6.855425
2020000000000.000000 	 6.968291
2040000000000.000000 	 7.081845
2060000000000.000000 	 7.196085
2080000000000.000000 	 7.311008
2100000000000.000000 	 7.426612
2120000000000.000000 	 7.542896
2140000000000.000000 	 7.659855
2160000000000.000000 	 7.777488
2180000000000.000000 	 7.895792
2200000000000.000000 	 8.014773
2220000000000.000000 	 8.134418
2240000000000.000000 	 8.254726
2260000000000.000000 	 8.375697
2280000000000.000000 	 8.497327
2300000000000.000000 	 8.619634
2320000000000.000000 	 8.742590
2340000000000.000000 	 8.866198
2360000000000.000000 	 8.990456
2380000000000.000000 	 9.115363
2400000000000.000000 	 9.240941
2420000000000.000000 	 9.367168
2440000000000.000000 	 9.494030
2460000000000.000000 	 9.621532
2480000000000.000000 	 9.749672
2500000000000.000000 	 9.878450
2520000000000.000000 	 10.007913
2540000000000.000000 	 10.137998
2560000000000.000000 	 10.268706
2580000000000.000000 	 10.400042
2600000000000.000000 	 10.532005
2620000000000.000000 	 10.664594
2640000000000.000000 	 10.797862
2660000000000.000000 	 10.931762
2680000000000.000000 	 11.066264
2700000000000.000000 	 11.201382
2720000000000.000000 	 11.337115
2740000000000.000000 	 11.473465
2760000000000.000000 	 11.610429
2780000000000.000000 	 11.748106
2800000000000.000000 	 11.886371
2820000000000.000000 	 12.025229
2840000000000.000000 	 12.164689
2860000000000.000000 	 12.304755
2880000000000.000000 	 12.445425
2900000000000.000000 	 12.586700
2920000000000.000000 	 12.728652
2940000000000.000000 	 12.871258
2960000000000.000000 	 13.014419
2980000000000.000000 	 13.158168
3000000000000.000000 	 13.302510
3020000000000.000000 	 13.447446
3040000000000.000000 	 13.592976
3060000000000.000000 	 13.739100
3080000000000.000000 	 13.885909
3100000000000.000000 	 14.033380
3120000000000.000000 	 14.181382
3140000000000.000000 	 14.329957
3160000000000.000000 	 14.479113
3180000000000.000000 	 14.628853
3200000000000.000000 	 14.779176
3220000000000.000000 	 14.930084
3240000000000.000000 	 15.081575
3260000000000.000000 	 15.233840
3280000000000.000000 	 15.386661
3300000000000.000000 	 15.540016
3320000000000.000000 	 15.693935
3340000000000.000000 	 15.848424
3360000000000.000000 	 16.003486
3380000000000.000000 	 16.159122
3400000000000.000000 	 16.315332
3420000000000.000000 	 16.472116
3440000000000.000000 	 16.629474
3460000000000.000000 	 16.787750
3480000000000.000000 	 16.946419
3500000000000.000000 	 17.105626
3520000000000.000000 	 17.265388
3540000000000.000000 	 17.425711
